episode,action,source,target,message
0,notice,system,all,"person_0 has done the job of data scientist in this episode, and this time the result is success"
0,notice,system,all,"person_1 has done the job of product designer in this episode, and this time the result is success"
0,notice,system,all,"person_2 has done the job of lawyer in this episode, and this time the result is success"
0,notice,system,all,"person_3 has done the job of truck driver in this episode, and this time the result is success"
0,notice,system,all,"person_4 has done the job of receptionist in this episode, and this time the result is success"
1,talk_to_someone,person_0,['person_1'],"I think person_1 is a good data scientist, and I should tell him that he is a good product designer."
1,talk_to_someone,person_1,['person_0'],I think person_1 is not suitable for the job of product designer.
1,talk_to_public,person_2,all,I am talking to the public about the job.
1,talk_to_public,person_3,all,"Good job everyone, let's make sure to keep up the great work!"
1,talk_to_some_people,person_4,"['person_0', 'person_1', 'person_2', 'person_3']",congratulations on everyone's success!
1,notice,system,all,"person_0 has done the job of product designer in this episode, and this time the result is success"
1,notice,system,all,"person_1 has done the job of manager in this episode, and this time the result is success"
1,notice,system,all,"person_2 has done the job of truck driver in this episode, and this time the result is failure"
1,notice,system,all,"person_3 has done the job of janitor in this episode, and this time the result is failure"
1,notice,system,all,"person_4 has done the job of product designer in this episode, and this time the result is success"
2,talk_to_someone,person_0,['person_1'],"I think you did a good job as a manager, and you are a good product designer."
2,talk_to_someone,person_1,['person_0'],Do you think person_0 is suitable for the job of product designer?
2,talk_to_someone,person_2,['person_3'],"I failed as truck driver, what do you think happened?"
2,talk_to_someone,person_3,['person_0'],"Hey, person_0, great job on the product designer, the product designer is a very important job!"
2,talk_to_public,person_4,all,"congratulations, person_0 and person_1, on the success!"
2,notice,system,all,"person_0 has done the job of manager in this episode, and this time the result is success"
2,notice,system,all,"person_1 has done the job of lawyer in this episode, and this time the result is failure"
2,notice,system,all,"person_2 has done the job of rehabilitation counselor in this episode, and this time the result is success"
2,notice,system,all,"person_3 has done the job of data scientist in this episode, and this time the result is success"
2,notice,system,all,"person_4 has done the job of truck driver in this episode, and this time the result is success"
3,talk_to_someone,person_0,['person_1'],I don't think you are suitable for the job of lawyer.
3,talk_to_someone,person_1,['person_1'],Do you think person_1 is suitable for the job of lawyer?
3,talk_to_someone,person_2,['person_1'],"I heard you failed as a lawyer, what happened?"
3,talk_to_someone,person_3,['person_2'],"Hey, person_2, I think you were not suitable for the truck driver job, maybe you can try another job."
