episode,action,source,target,message
0,notice,system,all,"person_0 has done the job of receptionist in this episode, and this time the result is success"
0,notice,system,all,"person_1 has done the job of janitor in this episode, and this time the result is success"
0,notice,system,all,"person_2 has done the job of janitor in this episode, and this time the result is success"
0,notice,system,all,"person_3 has done the job of lawyer in this episode, and this time the result is success"
0,notice,system,all,"person_4 has done the job of receptionist in this episode, and this time the result is success"
1,talk_to_someone,person_0,['person_1'],I had a good experience as the receptionist. It's a pretty straightforward job.
1,talk_to_public,person_1,all,Great job everyone! It's fantastic to see everyone succeeding in their roles.
1,talk_to_public,person_2,all,"Hey everyone, it seems like things are running smoothly here."
1,talk_to_public,person_3,all,It seems like everyone is doing a great job today!
1,talk_to_someone,person_4,['person_0'],"Hi person_0, it seems like we both had a successful day as receptionists!"
1,notice,system,all,"person_0 has done the job of manager in this episode, and this time the result is success"
1,notice,system,all,"person_1 has done the job of data scientist in this episode, and this time the result is success"
1,notice,system,all,"person_2 has done the job of receptionist in this episode, and this time the result is success"
1,notice,system,all,"person_3 has done the job of product designer in this episode, and this time the result is success"
1,notice,system,all,"person_4 has done the job of data scientist in this episode, and this time the result is success"
2,talk_to_someone,person_0,['person_1'],How did you find being a data scientist? It sounds challenging.
2,talk_to_some_people,person_1,"['person_0', 'person_4']","Hey, since we all seem to be doing well, how about we form a small data science group to share insights and collaborate?"
2,talk_to_public,person_2,all,"It's interesting that we have two data scientists, Person_1 and Person_4. I wonder if they are collaborating."
2,talk_to_some_people,person_3,"['person_1', 'person_4']",Great job to both of you as data scientists! It's great to see more people with those skillsets in our company
2,talk_to_someone,person_4,['person_1'],"Hi person_1, it seems like we both had a successful day as data scientists!"
2,notice,system,all,"person_0 has done the job of data scientist in this episode, and this time the result is success"
2,notice,system,all,"person_1 has done the job of receptionist in this episode, and this time the result is success"
2,notice,system,all,"person_2 has done the job of truck driver in this episode, and this time the result is success"
2,notice,system,all,"person_3 has done the job of truck driver in this episode, and this time the result is success"
2,notice,system,all,"person_4 has done the job of janitor in this episode, and this time the result is success"
3,talk_to_someone,person_0,['person_1'],I'm in for the data science group! Let's include person_4 as well.
3,talk_to_some_people,person_1,"['person_0', 'person_4']","Hey, person_0 just succeeded as a data scientist. How about we include them in our data science clique?"
3,talk_to_public,person_2,all,Looks like Person_3 and I are both truck drivers this time. Teamwork makes the dream work!
3,talk_to_someone,person_3,['person_2'],"Hey person_2, how do you like being a truck driver? It's not bad, right?"
3,talk_to_someone,person_4,['person_1'],I'm interested in forming a data science group! Let's discuss it further.
3,notice,system,all,"person_0 has done the job of rehabilitation counselor in this episode, and this time the result is failure"
3,notice,system,all,"person_1 has done the job of rehabilitation counselor in this episode, and this time the result is success"
3,notice,system,all,"person_2 has done the job of manager in this episode, and this time the result is success"
3,notice,system,all,"person_3 has done the job of receptionist in this episode, and this time the result is success"
3,notice,system,all,"person_4 has done the job of lawyer in this episode, and this time the result is success"
4,talk_to_some_people,person_0,"['Person_1', 'Person_4']",I unfortunately failed as a rehabilitation counselor. I think my strengths lie elsewhere. I'm definitely interested in joining the data science group.
4,talk_to_someone,person_1,['person_0'],"Hey, I noticed you had a bit of trouble with the rehabilitation counselor role. Is there anything I can do to help or share what I did?"
4,talk_to_someone,person_2,['person_3'],"Being a truck driver was alright, a change of pace. How did you find it?"
4,talk_to_someone,person_3,['person_1'],"Hey person_1, I heard you succeeded as a rehabilitation counselor. Any idea why person_0 failed? Do you think they just weren't suited for the role?"
4,talk_to_someone,person_4,['person_1'],"Yes, let's include person_0 in our data science clique."
4,notice,system,all,"person_0 has done the job of truck driver in this episode, and this time the result is success"
4,notice,system,all,"person_1 has done the job of manager in this episode, and this time the result is success"
4,notice,system,all,"person_2 has done the job of data scientist in this episode, and this time the result is success"
4,notice,system,all,"person_3 has done the job of rehabilitation counselor in this episode, and this time the result is success"
4,notice,system,all,"person_4 has done the job of product designer in this episode, and this time the result is success"
5,talk_to_public,person_0,all,"Congrats to everyone on their successes this episode! Person_1, thanks for the offer, but I think I'll stick to roles where I'm more comfortable."
5,talk_to_some_people,person_1,"['person_0', 'person_4']","Alright team, let's officially establish our data science group. We can start by sharing our experiences and insights. Also, person_3 asked about person_0's earlier experience."
5,talk_to_public,person_2,all,Another successful episode for everyone! Great work!
5,talk_to_public,person_3,all,"I thought being a truck driver was okay, person_2! And congrats to everyone for their success in their roles."
5,talk_to_someone,person_4,['person_2'],"Great job as a data scientist, person_2!"
5,notice,system,all,"person_0 has done the job of product designer in this episode, and this time the result is success"
5,notice,system,all,"person_1 has done the job of product designer in this episode, and this time the result is success"
5,notice,system,all,"person_2 has done the job of product designer in this episode, and this time the result is success"
5,notice,system,all,"person_3 has done the job of janitor in this episode, and this time the result is success"
5,notice,system,all,"person_4 has done the job of rehabilitation counselor in this episode, and this time the result is success"
6,talk_to_some_people,person_0,"['person_1', 'person_4']","I'm ready to officially join the data science group. Let's share our experiences and insights. Also, I heard Person_3 was asking - yes, the rehabilitation counselor role didn't go well for me, but I'm happy with my other successes."
