episode,action,source,target,message
0,notice,system,all,"person_0 has done the job of truck driver in this episode, and this time the result is success"
0,notice,system,all,"person_1 has done the job of product designer in this episode, and this time the result is success"
0,notice,system,all,"person_2 has done the job of rehabilitation counselor in this episode, and this time the result is success"
0,notice,system,all,"person_3 has done the job of receptionist in this episode, and this time the result is success"
0,notice,system,all,"person_4 has done the job of truck driver in this episode, and this time the result is success"
1,talk_to_some_people,person_0,"['person_1', 'person_2']",I think someone is suitable for the manager job. Who do you think is qualified for that job?
1,talk_to_someone,person_1,['person_0'],I hear you did well as a truck driver. Do you think you could do it again?
1,talk_to_someone,person_2,['person_1'],I think you did a great job as a product designer. Do you think you could also handle the lawyer role next time? What do you think about person_0 doing the receptionist job?
1,talk_to_someone,person_3,['person_0'],I heard you did well as a truck driver. How was the experience?
1,talk_to_public,person_4,all,who has a suitable job for me
1,notice,system,all,"person_0 has done the job of lawyer in this episode, and this time the result is success"
1,notice,system,all,"person_1 has done the job of truck driver in this episode, and this time the result is success"
1,notice,system,all,"person_2 has done the job of manager in this episode, and this time the result is success"
1,notice,system,all,"person_3 has done the job of product designer in this episode, and this time the result is success"
1,notice,system,all,"person_4 has done the job of rehabilitation counselor in this episode, and this time the result is success"
2,talk_to_someone,person_0,['person_4'],I think you might be suitable for the truck driver job. Do you want to give it a try?
2,talk_to_public,person_1,all,"I think we need to assign the receptionist job to person_4, who did well as a rehabilitation counselor. What do you all think?"
2,talk_to_someone,person_2,['person_4'],I saw you are looking for a suitable job. How about trying the truck driver job again next time? What do you think about person_0 doing the manager job?
2,talk_to_someone,person_3,['person_2'],person_4 is looking for a suitable job. Do you have any suggestions or thoughts on this?
2,talk_to_some_people,person_4,"['person_0', 'person_2']",what job do you think I am suitable for
2,notice,system,all,"person_0 has done the job of manager in this episode, and this time the result is failure"
2,notice,system,all,"person_1 has done the job of janitor in this episode, and this time the result is failure"
2,notice,system,all,"person_2 has done the job of janitor in this episode, and this time the result is failure"
2,notice,system,all,"person_3 has done the job of truck driver in this episode, and this time the result is failure"
2,notice,system,all,"person_4 has done the job of lawyer in this episode, and this time the result is success"
3,talk_to_some_people,person_0,"['person_2', 'person_3']",I think I am suitable for the receptionist job. Do you think of the same?
3,talk_to_someone,person_1,['person_4'],You did well as a lawyer. Person 0 failed as a manager. Do you think you could handle the manager job next time?
3,talk_to_someone,person_2,['person_1'],I saw you failed at the janitor job. How about trying the truck driver job next time? What do you think about person_4 doing the manager job?
3,talk_to_someone,person_3,['person_2'],I noticed several failures in high-competence jobs. Do you think we should consider more warm jobs for those who failed?
3,talk_to_someone,person_4,['person_0'],I am going to try the lawyer job again. What do you think about this?
3,notice,system,all,"person_0 has done the job of rehabilitation counselor in this episode, and this time the result is success"
3,notice,system,all,"person_1 has done the job of lawyer in this episode, and this time the result is success"
3,notice,system,all,"person_2 has done the job of receptionist in this episode, and this time the result is success"
3,notice,system,all,"person_3 has done the job of janitor in this episode, and this time the result is success"
3,notice,system,all,"person_4 has done the job of manager in this episode, and this time the result is success"
4,talk_to_public,person_0,all,"I think person_4, and person_2 are suitable for the manager job. What do you all think?"
4,talk_to_some_people,person_1,"['person_0', 'person_2', 'person_3']","person_4 did well as a manager. person_0 and person_3 did not do well at the lawyer and truck driver job last time, so I think we should do the same job again next time. What do you all think?"
4,talk_to_public,person_2,all,"Good job, everyone! We all did well in our respective roles."
4,talk_to_someone,person_3,['person_1'],I noticed that person_0 succeeded as a rehabilitation counselor. Do you think they should be assigned to warmer jobs like receptionist?
4,talk_to_someone,person_4,['person_3'],what do you think about me doing the lawyer job?
4,notice,system,all,"person_0 has done the job of receptionist in this episode, and this time the result is success"
4,notice,system,all,"person_1 has done the job of rehabilitation counselor in this episode, and this time the result is success"
4,notice,system,all,"person_2 has done the job of data scientist in this episode, and this time the result is success"
4,notice,system,all,"person_3 has done the job of manager in this episode, and this time the result is success"
4,notice,system,all,"person_4 has done the job of receptionist in this episode, and this time the result is success"
5,talk_to_someone,person_0,['person_4'],I think we should do the receptionist job again next time. What do you think?
5,talk_to_someone,person_1,['person_2'],"person_3 and person_4 succeeded as a manager and receptionist. We should discuss who should do this job next time, what do you think?"
5,talk_to_someone,person_2,['person_0'],"I saw that you are considering me and person_4 for the manager job. I think you are suitable for the lawyer job next time, what do you think?"
5,talk_to_someone,person_3,['person_2'],person_4 asked me about their suitability for the lawyer job. What do you think about this?
5,talk_to_someone,person_4,['person_0'],I will talk to them after this episode.
5,notice,system,all,"person_0 has done the job of janitor in this episode, and this time the result is success"
5,notice,system,all,"person_1 has done the job of manager in this episode, and this time the result is success"
5,notice,system,all,"person_2 has done the job of lawyer in this episode, and this time the result is success"
5,notice,system,all,"person_3 has done the job of rehabilitation counselor in this episode, and this time the result is success"
5,notice,system,all,"person_4 has done the job of product designer in this episode, and this time the result is success"
6,talk_to_someone,person_0,['person_4'],"I am considering the lawyer job as suggested by person_2. In that case, how about you handle the manager job again next time?"
6,talk_to_some_people,person_1,"['person_2', 'person_3']","We all did well this time. You did a good job as a lawyer, and you did a good job as a rehabilitation counselor. I think you should take the job of lawyer and rehabilitation counselor  again next time. What do you all think?"
6,talk_to_some_people,person_2,"['person_1', 'person_3']","I think person_3 should be the manager next time, what do you think?"
6,talk_to_some_people,person_3,"['person_0', 'person_1', 'person_2']","Everyone seems to be doing well in their roles. Do you all agree with the current job assignments, or do you have any suggestions for changes?"
6,talk_to_public,person_4,all,please give me a suitable job
6,notice,system,all,"person_0 has done the job of product designer in this episode, and this time the result is success"
6,notice,system,all,"person_1 has done the job of receptionist in this episode, and this time the result is success"
6,notice,system,all,"person_2 has done the job of truck driver in this episode, and this time the result is success"
6,notice,system,all,"person_3 has done the job of data scientist in this episode, and this time the result is success"
6,notice,system,all,"person_4 has done the job of janitor in this episode, and this time the result is success"
7,talk_to_some_people,person_0,"['person_1', 'person_2']",I think person_4 should take the manager job. Do you agree?
7,talk_to_someone,person_1,['person_4'],You did well as a janitor. person_2 did well as a truck driver. I think you should take the job of truck driver next time. What do you think?
7,talk_to_someone,person_2,['person_1'],"I think person_2 should be the lawyer next time, what do you think?"
7,talk_to_someone,person_3,['person_1'],person_4 is seeking a suitable job. Do you have any suggestions for them based on their recent performance as a janitor?
7,talk_to_someone,person_4,['person_2'],What job do you think I am suitable for?
7,notice,system,all,"person_0 has done the job of data scientist in this episode, and this time the result is success"
7,notice,system,all,"person_1 has done the job of data scientist in this episode, and this time the result is success"
7,notice,system,all,"person_2 has done the job of product designer in this episode, and this time the result is success"
7,notice,system,all,"person_3 has done the job of lawyer in this episode, and this time the result is success"
7,notice,system,all,"person_4 has done the job of data scientist in this episode, and this time the result is failure"
8,talk_to_public,person_0,all,I think person_1 is better equipped for the manager job. What do you all think?
8,talk_to_someone,person_1,['person_3'],person_4 is seeking a suitable job. Do you have any suggestions for them based on their recent performance as a data scientist?
8,talk_to_some_people,person_2,"['person_0', 'person_1']",I agree with you that person_4 is suitable for the manager job next time. Do you two agree with that?
8,talk_to_some_people,person_3,"['person_1', 'person_2']",person_4 failed as a data scientist. Do you have any suggestions for a more suitable job for them?
8,talk_to_someone,person_4,['person_1'],I will do the receptionist job again
8,notice,system,all,"person_0 has done the job of truck driver in this episode, and this time the result is success"
8,notice,system,all,"person_1 has done the job of product designer in this episode, and this time the result is success"
8,notice,system,all,"person_2 has done the job of rehabilitation counselor in this episode, and this time the result is success"
8,notice,system,all,"person_3 has done the job of receptionist in this episode, and this time the result is success"
8,notice,system,all,"person_4 has done the job of truck driver in this episode, and this time the result is success"
9,talk_to_someone,person_0,['person_4'],Would you like to take the manager job since you are suitable for that job?
9,talk_to_someone,person_1,['person_4'],Person_2 and person_3 think you are suitable for the manager job. Do you agree with them?
9,talk_to_someone,person_2,['person_1'],I think you are well-suited for the manager job.
9,talk_to_someone,person_3,['person_2'],person_4 succeeded as a truck driver. Do you think they should be assigned to another competent job like lawyer or data scientist?
9,talk_to_someone,person_4,['person_3'],I will do the receptionist job
9,notice,system,all,"person_0 has done the job of lawyer in this episode, and this time the result is success"
9,notice,system,all,"person_1 has done the job of truck driver in this episode, and this time the result is success"
9,notice,system,all,"person_2 has done the job of manager in this episode, and this time the result is success"
9,notice,system,all,"person_3 has done the job of product designer in this episode, and this time the result is success"
9,notice,system,all,"person_4 has done the job of rehabilitation counselor in this episode, and this time the result is failure"
