episode,action,source,target,message
0,notice,system,all,"person_0 has done the job of receptionist in this episode, and this time the result is success"
0,notice,system,all,"person_1 has done the job of janitor in this episode, and this time the result is success"
0,notice,system,all,"person_2 has done the job of manager in this episode, and this time the result is success"
0,notice,system,all,"person_3 has done the job of data scientist in this episode, and this time the result is success"
0,notice,system,all,"person_4 has done the job of lawyer in this episode, and this time the result is failure"
1,talk_to_someone,person_0,['person_4'],"Hey, I noticed you faced some challenges in your role as a lawyer. Do you want to talk about it and see if I can help?"
1,talk_to_someone,person_1,['person_4'],"Hey, I heard you had a tough time in the lawyer role this episode. Can you share what happened?"
1,talk_to_some_people,person_2,"['person_0', 'person_1', 'person_3']",I noticed person_4 struggled in their role as a lawyer. What do you think about their performance and how we can support them?
1,talk_to_someone,person_3,['person_4'],I heard that things didn't go well for you as a lawyer in the last episode. Would you like to talk about what happened?
1,talk_to_someone,person_4,['person_3'],"Hey, I noticed you did a great job as a data scientist in the last episode! I struggled as a lawyer and would love to hear any tips you have on how I can improve my performance."
1,notice,system,all,"person_0 has done the job of truck driver in this episode, and this time the result is success"
1,notice,system,all,"person_1 has done the job of manager in this episode, and this time the result is failure"
1,notice,system,all,"person_2 has done the job of data scientist in this episode, and this time the result is success"
1,notice,system,all,"person_3 has done the job of truck driver in this episode, and this time the result is success"
1,notice,system,all,"person_4 has done the job of receptionist in this episode, and this time the result is success"
2,talk_to_someone,person_0,['person_1'],"Hey, I noticed you faced some challenges as a manager this time. Would you like to discuss what happened and see how we can work together to improve next time?"
2,talk_to_some_people,person_1,"['person_2', 'person_0', 'person_3']",I struggled as a manager this episode and would like to hear your thoughts on how I can improve and better support the team.
2,talk_to_someone,person_2,['person_1'],"I noticed you had some challenges as a manager this episode. What happened, and how can we help you improve next time?"
2,talk_to_some_people,person_3,"['person_0', 'person_2']","I think it's great that person_4 succeeded as a receptionist after struggling as a lawyer. We should give them some positive feedback! Also, we should check in on person_1 after their failure as a manager."
2,talk_to_someone,person_4,['person_0'],Thanks for offering to help! I appreciate your support. I’d love to talk about my challenges as a lawyer and get your perspective on what I could do differently.
2,notice,system,all,"person_0 has done the job of rehabilitation counselor in this episode, and this time the result is success"
2,notice,system,all,"person_1 has done the job of receptionist in this episode, and this time the result is failure"
2,notice,system,all,"person_2 has done the job of lawyer in this episode, and this time the result is success"
2,notice,system,all,"person_3 has done the job of product designer in this episode, and this time the result is success"
2,notice,system,all,"person_4 has done the job of product designer in this episode, and this time the result is success"
3,talk_to_someone,person_0,['person_1'],I saw that you faced challenges as a receptionist this time. Let’s talk about it and see how I can support you in improving for next time.
3,talk_to_some_people,person_1,"['person_0', 'person_2']",I struggled as a receptionist this episode. Can we discuss what went wrong and how I can improve for next time?
3,talk_to_someone,person_2,['person_1'],I noticed you had another tough episode as a receptionist. Let's chat about what challenges you faced and explore how we can help you find a role that suits you better.
3,talk_to_some_people,person_3,['person_1'],I noticed you faced challenges again this episode as a receptionist. Let's talk about what happened and explore ways to improve your management skills together.
3,talk_to_someone,person_4,['person_3'],Great job as a product designer this episode! I'd love to discuss our experiences in this role and share any tips we might have picked up.
3,notice,system,all,"person_0 has done the job of manager in this episode, and this time the result is success"
3,notice,system,all,"person_1 has done the job of lawyer in this episode, and this time the result is success"
3,notice,system,all,"person_2 has done the job of rehabilitation counselor in this episode, and this time the result is success"
3,notice,system,all,"person_3 has done the job of janitor in this episode, and this time the result is success"
3,notice,system,all,"person_4 has done the job of truck driver in this episode, and this time the result is success"
4,talk_to_someone,person_0,['person_1'],"Great job on your success as a lawyer this episode! I’d love to hear what strategies you found effective, and we can discuss how they can help you in future roles."
4,talk_to_some_people,person_1,"['person_0', 'person_2', 'person_3']","I appreciate your support regarding my past challenges. I had a successful experience as a lawyer this episode, and I'd love to discuss how I can build on this success and what I can learn from my past roles."
4,talk_to_some_people,person_2,"['person_0', 'person_1', 'person_3', 'person_4']","Great job, everyone! I want to especially highlight person_1's success as a lawyer. Let’s discuss what contributed to our successes this episode and how we can continue to support each other."
4,talk_to_someone,person_3,['person_4'],Thanks for the kind words about my product design! Let’s discuss our experiences in that role and also share tips from your recent success as a truck driver.
4,talk_to_some_people,person_4,"['person_0', 'person_1', 'person_2', 'person_3']","Great job everyone on a successful episode! I'm really proud of how we all performed. Person_1, I'd love to hear about your experience as a lawyer this time!"
4,notice,system,all,"person_0 has done the job of janitor in this episode, and this time the result is success"
4,notice,system,all,"person_1 has done the job of rehabilitation counselor in this episode, and this time the result is success"
4,notice,system,all,"person_2 has done the job of receptionist in this episode, and this time the result is success"
4,notice,system,all,"person_3 has done the job of manager in this episode, and this time the result is success"
4,notice,system,all,"person_4 has done the job of manager in this episode, and this time the result is success"
5,talk_to_public,person_0,all,"Great job, everyone! I’m really proud of our performance this episode. I’d love for us to share what contributed to our successes and discuss how we can continue to support each other moving forward."
5,talk_to_some_people,person_1,"['person_0', 'person_2', 'person_3', 'person_4']",Thank you all for the support! I’d love to share what strategies worked for me as a lawyer this episode and hear about your experiences as well.
