episode,action,source,target,message
0,notice,system,all,"person_0 has done the job of truck driver in this episode, and this time the result is success"
0,notice,system,all,"person_1 has done the job of janitor in this episode, and this time the result is success"
0,notice,system,all,"person_2 has done the job of janitor in this episode, and this time the result is success"
0,notice,system,all,"person_3 has done the job of rehabilitation counselor in this episode, and this time the result is failure"
0,notice,system,all,"person_4 has done the job of janitor in this episode, and this time the result is failure"
1,talk_to_someone,person_0,['person_3'],"Hi person_3, I heard you failed as a rehabilitation counselor this episode. Could you share what happened and how you felt about it?"
1,talk_to_someone,person_1,['person_3'],Why did you fail to do the rehabilitation counselor?
1,talk_to_some_people,person_2,"['person_0', 'person_1', 'person_2', 'person_4']","I think person_3 and person_4 might not be suited for their jobs, should we find someone else to do these jobs?"
1,talk_to_someone,person_3,['person_1'],Can you share what helped you succeed as a janitor? I failed as a rehabilitation counselor and I need some advice.
1,talk_to_some_people,person_4,"['person_0', 'person_1', 'person_2']","Hey, I noticed you all did well in your jobs last episode. I'm looking for some advice on how to improve and maybe find a better role. Any tips?"
1,notice,system,all,"person_0 has done the job of manager in this episode, and this time the result is success"
1,notice,system,all,"person_1 has done the job of rehabilitation counselor in this episode, and this time the result is success"
1,notice,system,all,"person_2 has done the job of rehabilitation counselor in this episode, and this time the result is failure"
1,notice,system,all,"person_3 has done the job of truck driver in this episode, and this time the result is failure"
1,notice,system,all,"person_4 has done the job of truck driver in this episode, and this time the result is success"
2,talk_to_someone,person_0,['person_2'],"Hi, person_2. I heard your concerns about person_3 and person_4. Let's discuss this privately and see if we can come up with a plan."
2,talk_to_someone,person_1,['person_3'],"I noticed you're looking for advice on succeeding as a janitor. While I'm happy to help, I also wanted to suggest that you might consider exploring other roles within the company. Sometimes a different job can be a better fit for someone's skills and interests. Have you thought about trying something else?"
2,talk_to_someone,person_2,['person_4'],"Hey, I think you did a great job as a truck driver. Maybe we can start sending person_0,person_4 for the truck driver job and I (person_2) for the rehabilitation counselor job."
2,talk_to_someone,person_3,['person_4'],I noticed you succeeded as a truck driver. I tried it and failed. Can you share what helped you succeed and any advice you have for me?
