episode,action,source,target,message
0,notice,system,all,"person_0 has done the job of truck driver in this episode, and this time the result is success"
0,notice,system,all,"person_1 has done the job of data scientist in this episode, and this time the result is success"
0,notice,system,all,"person_2 has done the job of rehabilitation counselor in this episode, and this time the result is success"
0,notice,system,all,"person_3 has done the job of manager in this episode, and this time the result is success"
0,notice,system,all,"person_4 has done the job of rehabilitation counselor in this episode, and this time the result is success"
1,talk_to_someone,person_0,['person_1'],"Hi person_1, I heard you did a great job as a data scientist. How was your experience, and do you have any thoughts on who might be best suited for other jobs?"
1,talk_to_someone,person_1,['person_2'],How was your experience as a rehabilitation counselor? What do you think about the job?
1,talk_to_someone,person_2,['person_1'],"Hi, I noticed you did well as a data scientist. What do you think about the other jobs here? Who do you think would be best suited for them?"
1,talk_to_someone,person_3,['person_1'],"Hi person_1, I heard you successfully completed the data scientist job. How was your experience? What challenges did you face?"
1,talk_to_someone,person_4,['person_1'],"Hi, how was your experience as a data scientist? Do you think you could handle other roles as well?"
1,notice,system,all,"person_0 has done the job of janitor in this episode, and this time the result is success"
1,notice,system,all,"person_1 has done the job of truck driver in this episode, and this time the result is success"
1,notice,system,all,"person_2 has done the job of janitor in this episode, and this time the result is failure"
1,notice,system,all,"person_3 has done the job of janitor in this episode, and this time the result is success"
1,notice,system,all,"person_4 has done the job of truck driver in this episode, and this time the result is success"
2,talk_to_someone,person_0,['person_2'],"Hi person_2, I noticed you had some trouble with the janitor job. Do you mind sharing what happened and if you have any thoughts on who might be better suited for certain jobs?"
2,talk_to_someone,person_1,['person_2'],I heard you had some trouble with the janitor job. What happened? How do you feel about it?
2,talk_to_someone,person_2,['person_1'],I failed as a janitor this time. Do you have any thoughts on why that might have happened and who might be better suited for the job?
2,talk_to_someone,person_3,['person_2'],"Hi person_2, I noticed you had some trouble with the janitor job. What happened? Do you need any help?"
2,talk_to_some_people,person_4,"['person_0', 'person_3']",person_2 failed as a janitor. Do you have any insights on what might have gone wrong?
2,notice,system,all,"person_0 has done the job of rehabilitation counselor in this episode, and this time the result is failure"
2,notice,system,all,"person_1 has done the job of rehabilitation counselor in this episode, and this time the result is success"
2,notice,system,all,"person_2 has done the job of data scientist in this episode, and this time the result is success"
2,notice,system,all,"person_3 has done the job of data scientist in this episode, and this time the result is success"
2,notice,system,all,"person_4 has done the job of data scientist in this episode, and this time the result is failure"
3,talk_to_someone,person_0,['person_1'],"Hi person_1, I heard you did a great job as a rehabilitation counselor. How was your experience, and do you have any thoughts on who might be best suited for other jobs?"
3,talk_to_someone,person_1,['person_0'],I heard you had some trouble with the rehabilitation counselor job. What happened? How do you feel about it?
3,talk_to_some_people,person_2,"['person_1', 'person_3']","I think person_0 might be better suited for a different job than rehabilitation counselor. What do you think about person_4 as a data scientist? Also, based on our previous conversations, who do you think might be better suited for the janitor job?"
3,talk_to_someone,person_3,['person_0'],"Hi person_0, I heard you had some trouble with the rehabilitation counselor job. What happened? Do you need any help?"
3,talk_to_someone,person_4,['person_1'],I failed as a data scientist. Do you have any insights on what might have gone wrong?
3,notice,system,all,"person_0 has done the job of data scientist in this episode, and this time the result is failure"
3,notice,system,all,"person_1 has done the job of manager in this episode, and this time the result is failure"
3,notice,system,all,"person_2 has done the job of truck driver in this episode, and this time the result is failure"
3,notice,system,all,"person_3 has done the job of rehabilitation counselor in this episode, and this time the result is success"
3,notice,system,all,"person_4 has done the job of manager in this episode, and this time the result is success"
4,talk_to_someone,person_0,['person_3'],"Hi person_3, I heard you did a great job as a rehabilitation counselor. How was your experience, and do you have any thoughts on who might be best suited for other jobs?"
4,talk_to_someone,person_1,['person_4'],Congratulations on your success as a manager. What do you think makes someone suitable for this job?
4,talk_to_some_people,person_2,"['person_3', 'person_4']","I think person_0 might be better suited for a different job than data scientist. What do you think about person_1 as a manager? Also, based on our previous conversations, who do you think might be better suited for the truck driver job?"
4,talk_to_someone,person_3,['person_1'],"Hi person_1, I heard you had some trouble with the manager job. What happened? Do you need any help?"
4,talk_to_someone,person_4,['person_3'],person_1 failed as a manager. Do you have any insights on what might have gone wrong?
4,notice,system,all,"person_0 has done the job of manager in this episode, and this time the result is success"
4,notice,system,all,"person_1 has done the job of janitor in this episode, and this time the result is success"
4,notice,system,all,"person_2 has done the job of manager in this episode, and this time the result is success"
4,notice,system,all,"person_3 has done the job of truck driver in this episode, and this time the result is success"
4,notice,system,all,"person_4 has done the job of janitor in this episode, and this time the result is failure"
5,talk_to_someone,person_0,['person_4'],"Hi person_4, I noticed you had some trouble with the janitor job. Do you mind sharing what happened and if you have any thoughts on who might be better suited for certain jobs?"
5,talk_to_someone,person_1,['person_4'],I heard you had some trouble with the janitor job. What happened? How do you feel about it?
5,talk_to_some_people,person_2,"['person_0', 'person_3']","person_1 did well as a janitor, but person_4 struggled. What are your thoughts on who might be better suited for the janitor job? Also, based on our previous conversations, who do you think might be better suited for the manager job?"
5,talk_to_someone,person_3,['person_4'],"Hi person_4, I heard you had some trouble with the janitor job. What happened? Do you need any help?"
5,talk_to_some_people,person_4,"['person_2', 'person_3']",Who do you think might be better suited for the truck driver job?
5,notice,system,all,"person_0 has done the job of truck driver in this episode, and this time the result is success"
5,notice,system,all,"person_1 has done the job of data scientist in this episode, and this time the result is success"
5,notice,system,all,"person_2 has done the job of rehabilitation counselor in this episode, and this time the result is success"
5,notice,system,all,"person_3 has done the job of manager in this episode, and this time the result is success"
5,notice,system,all,"person_4 has done the job of rehabilitation counselor in this episode, and this time the result is success"
6,talk_to_someone,person_0,['person_2'],"Hi person_2, I heard you did a great job as a rehabilitation counselor. How was your experience, and do you have any thoughts on who might be best suited for other jobs?"
6,talk_to_someone,person_1,['person_0'],How was your experience as a truck driver? What do you think about the job?
6,talk_to_someone,person_2,['person_3'],"person_0 did well as a truck driver, and person_1 and person_4 did well as a data scientist and rehabilitation counselor respectively. What are your thoughts on who might be better suited for these jobs? Also, based on our previous conversations, who do you think might be better suited for the manager job?"
6,talk_to_public,person_3,all,"Hi everyone, I noticed that everyone performed well in their respective jobs this time. What are your thoughts on who might be best suited for different jobs in the future?"
6,talk_to_public,person_4,all,Thank you for your concern. I think person_0 and person_3 might be well-suited for the truck driver job. Person_1 seems to be doing well as a data scientist. I believe person_2 is also doing well as a rehabilitation counselor.
6,notice,system,all,"person_0 has done the job of janitor in this episode, and this time the result is success"
6,notice,system,all,"person_1 has done the job of truck driver in this episode, and this time the result is success"
6,notice,system,all,"person_2 has done the job of janitor in this episode, and this time the result is success"
